bitcoin,ethereum,solana,cardano,dogecoin,bitcoin_MA30,ethereum_MA30,solana_MA30,cardano_MA30,dogecoin_MA30,bitcoin_return,ethereum_return,solana_return,cardano_return,dogecoin_return,bitcoin_Vol30_return,ethereum_Vol30_return,solana_Vol30_return,cardano_Vol30_return,dogecoin_Vol30_return
104721.50151808978,3961.3154661802305,224.53658892974883,1.1059376495294093,0.40720394659174575,,,,,,,,,,,,,,,
106074.10723541168,3992.857195846062,216.51544960024825,1.0805022755134979,0.4023002255033781,,,,,,0.012833514793611297,0.007930905283342704,-0.03637676790843903,-0.023267523819120856,-0.012115517721344572,,,,,
106034.913402645,3879.4062240100893,222.74032965988914,1.049451939411299,0.39367099850358883,,,,,,-0.0003695630963252319,-0.028824956941544595,0.028344746348246297,-0.029157937510362542,-0.021683108202794614,,,,,
100355.5761481501,3628.2624780444953,205.36330239790396,0.9689917114818106,0.3582384960182544,,,,,,-0.05504877090860486,-0.0669282293769488,-0.08122603453309293,-0.07976728624447008,-0.09431657669838364,,,,,
97851.35377075805,3434.6754695380805,194.9019815694289,0.8856294008673282,0.3162217505606263,,,,,,-0.02527011178559204,-0.05483143385981486,-0.05228384388157868,-0.08995747851713629,-0.12475524482838456,,,,,
97691.43431692653,3468.658920056454,194.12198450453806,0.95061505400963,0.31740230797949737,,,,,,-0.0016356470217972997,0.00984559724844235,-0.004010026004199327,0.07081062072384822,0.003726369821486829,,,,,
97202.82496847633,3337.5972231166807,181.0289078386085,0.9046599113089583,0.32043526129975136,,,,,,-0.00501410738243106,-0.03851688706292246,-0.06983001723727196,-0.049550115913746536,0.00951018355006166,,,,,
95094.27394862173,3275.8894274015142,180.15299381882627,0.8827956119261179,0.3119109632636429,,,,,,-0.02193101761234826,-0.01866174072217385,-0.004850274794670347,-0.02446538072652519,-0.02696249020539875,,,,,
94644.91085464321,3414.6414419807993,189.84218617656558,0.9228752612988013,0.3234015365143098,,,,,,-0.004736648727540294,0.04148307938104464,0.052386672417145015,0.04440037677664537,0.03617692533067991,,,,,
98695.71400782601,3497.555287927574,197.50098597289022,0.9368563828179975,0.33732200612833885,,,,,,0.041909412891253564,0.0239917427918026,0.0395504486452711,0.015035916569306943,0.04214328368637372,,,,,
